Ax,Ay,Az
-0.035801,-1.0124,0.26624
0.24081,0.25232,-0.23264
0.00060851,0.28971,-0.17194
-0.10143,0.039134,0.21409
0.052284,0.27328,0.029696
-0.066697,0.039668,-0.19603
-0.14358,-0.19203,-0.012669
0.036046,0.1317,0.087112
0.068997,0.17088,-0.015448
-0.030488,-0.093416,-0.11118
-0.046919,-0.094677,-0.1171
-0.0095608,0.04081,-0.0228
0.016053,0.12117,0.0028123
-0.026892,0.11753,-0.041127
-0.081065,0.03658,-0.016767
-0.058016,-0.028886,-0.0042505
-0.026762,-0.056326,-0.006733
-0.036613,-0.062985,0.026024
-0.033541,-0.062794,0.020369
-0.0022366,-0.077614,0.0031741
0.002592,-0.059603,-0.026033
-0.040925,0.025522,-0.13484
-0.078117,0.073188,-0.20241
-0.069349,-0.011199,-0.1249
-0.038974,-0.11579,-0.010492
-0.022329,-0.092138,0.04095
-0.026167,0.013216,0.037197
-0.042663,0.092173,0.016422
-0.054805,0.13138,0.0040153
-0.029434,0.13361,-0.0093168
0.022457,0.083103,-0.028549
0.041215,0.020677,-0.029574
0.02609,0.0030809,-0.018577
0.019782,0.0087964,-0.018246
0.016683,0.012139,-0.01016
0.0031315,0.045821,0.012524
-0.0027818,0.093813,0.016539
0.0017358,0.10088,-0.015063
0.0069026,0.090823,-0.064477
0.022072,0.10935,-0.071052
0.046018,0.15955,-0.0016924
0.052016,0.23431,0.043607
0.035103,0.2559,-0.011375
0.022269,0.1437,-0.068428
0.023637,0.030035,-0.033438
0.021786,0.068083,0.057065
0.0035818,0.13301,0.11055
-0.027386,0.094032,0.07125
-0.047478,0.053038,-0.010044
-0.027802,0.10934,-0.050706
0.0065985,0.24237,-0.041825
-0.011037,0.32209,-0.00073658
-0.064492,0.17917,0.0509
-0.065993,-0.060577,0.077371
-0.017839,-0.10959,0.06369
0.0080455,-0.029118,0.024802
0.017823,-0.0018979,-0.010212
0.045011,0.027212,-0.041135
0.04843,0.056832,-0.074894
0.0027313,0.0024982,-0.049387
-0.031806,-0.036502,0.059693
-0.020335,0.030159,0.15296
-0.0059079,0.11184,0.15085
-0.0055801,0.11335,0.07785
0.0042883,0.057101,0.015112
-0.00094094,0.03883,0.0042489
-0.047274,0.0653,-0.0097979
-0.085492,0.038533,-0.032311
-0.078371,-0.028219,0.024121
-0.049573,-0.041061,0.11617
-0.01587,-0.02148,0.10772
0.011746,-0.022684,0.025427
0.019753,-0.022327,-0.027126
0.021601,-0.019081,-0.052767
0.018336,-0.057925,-0.062837
-0.0036862,-0.14378,-0.027499
-0.027432,-0.2342,0.02348
-0.039425,-0.25346,0.034897
-0.042098,-0.13289,0.0094403
-0.022839,0.035676,-0.0076503
0.016631,0.07442,0.017179
0.040428,0.024027,0.0638
0.020562,0.040509,0.12086
-0.02207,0.084065,0.20075
-0.039964,0.044994,0.19762
-0.022305,-0.041874,0.018216
0.0025532,-0.07358,-0.15451
0.0050085,-0.0055494,-0.12611
-0.025024,0.086287,-0.01483
-0.052664,0.092273,0.01322
-0.038835,0.047085,0.003076
-0.0098239,0.045867,0.037486
-0.0018359,0.058106,0.088407
-0.0054426,0.023488,0.094844
-0.0081193,-0.010174,0.055147
-0.00043499,0.028701,0.022691
0.024112,0.12202,0.024851
0.045327,0.17647,0.038227
0.051811,0.13296,0.056452
0.048496,0.05954,0.079259
0.025838,0.063482,0.070056
-0.0067452,0.12685,0.036763
-0.013093,0.14346,0.047724
0.01466,0.067802,0.10477
0.029294,-0.032556,0.13063
-0.035028,-0.042635,0.081871
-0.13646,0.028748,0.0019443
-0.12244,0.044558,-0.031878
-0.0018807,-0.01034,-0.020982
0.033885,-0.043024,-0.029411
-0.027646,-0.082102,-0.050628
-0.037172,-0.16689,-0.054693
0.00022707,-0.17865,-0.069223
0.0038085,-0.038278,-0.077896
-0.012011,0.11372,-0.039201
-0.02147,0.12395,0.0087058
-0.02084,0.057885,0.0343
-0.00263,0.028135,0.048091
